;0;1;2;3;4;5;6;7;8;9;10
0;0.5199869781422902;0.7222041363087364;1.0030613004288005;1.3931406950400005;1.9349176320000006;2.6873856000000007;1.9349176320000006;1.3931406950400005;1.0030613004288005;0.7222041363087364;0.5199869781422902
1;0.7222041363087364;1.0030613004288005;1.3931406950400005;1.9349176320000006;2.6873856000000007;3.732480000000001;2.6873856000000007;1.9349176320000006;1.3931406950400005;1.0030613004288005;0.7222041363087364
2;1.0030613004288005;1.3931406950400005;1.9349176320000006;2.6873856000000007;3.732480000000001;5.184000000000001;3.732480000000001;2.6873856000000007;1.9349176320000006;1.3931406950400005;1.0030613004288005
3;1.3931406950400005;1.9349176320000006;2.6873856000000007;3.732480000000001;5.184000000000001;7.2;5.184000000000001;3.732480000000001;2.6873856000000007;1.9349176320000006;1.3931406950400005
4;1.9349176320000006;2.6873856000000007;3.732480000000001;5.184000000000001;7.2;10.0;7.2;5.184000000000001;3.732480000000001;2.6873856000000007;1.9349176320000006
5;2.6873856000000007;3.732480000000001;5.184000000000001;7.2;10.0;0.0;10.0;7.2;5.184000000000001;3.732480000000001;2.6873856000000007
6;1.9349176320000006;2.6873856000000007;3.732480000000001;5.184000000000001;7.2;10.0;7.2;5.184000000000001;3.732480000000001;2.6873856000000007;1.9349176320000006
7;1.3931406950400005;1.9349176320000006;2.6873856000000007;3.732480000000001;5.184000000000001;7.2;5.184000000000001;3.732480000000001;2.6873856000000007;1.9349176320000006;1.3931406950400005
8;1.0030613004288005;1.3931406950400005;1.9349176320000006;2.6873856000000007;3.732480000000001;5.184000000000001;3.732480000000001;2.6873856000000007;1.9349176320000006;1.3931406950400005;1.0030613004288005
9;0.7222041363087364;1.0030613004288005;1.3931406950400005;1.9349176320000006;2.6873856000000007;3.732480000000001;2.6873856000000007;1.9349176320000006;1.3931406950400005;1.0030613004288005;0.7222041363087364
10;0.5199869781422902;0.7222041363087364;1.0030613004288005;1.3931406950400005;1.9349176320000006;2.6873856000000007;1.9349176320000006;1.3931406950400005;1.0030613004288005;0.7222041363087364;0.5199869781422902
